Wavelength_(microns);Solar_Flux_(W/m^2/micron)
1.8875;1.38E+02
1.8925;1.37E+02
1.8975;1.38E+02
1.9025;1.33E+02
1.9075;1.36E+02
1.9125;1.38E+02
1.9175;1.36E+02
1.9225;1.34E+02
1.9275;1.32E+02
1.9325;1.32E+02
1.9375;1.31E+02
1.9425;1.29E+02
1.9475;1.28E+02
1.9525;1.27E+02
1.9575;1.22E+02
1.9625;1.26E+02
1.9675;1.26E+02
1.9725;1.25E+02
1.9775;1.29E+02
1.9825;1.25E+02
1.9875;1.23E+02
1.9925;1.21E+02
1.9975;1.23E+02
2.0025;1.16E+02
2.0075;1.10E+02
2.0125;1.14E+02
2.0175;1.12E+02
2.0225;1.13E+02
2.0275;1.13E+02
2.0325;1.10E+02
2.0375;1.07E+02
2.0425;1.07E+02
2.0475;1.08E+02
2.0525;1.04E+02
2.0575;1.02E+02
2.0625;1.00E+02
2.0675;9.51E+01
2.0725;9.90E+01
2.0775;1.01E+02
2.0825;9.70E+01
2.0875;9.61E+01
2.0925;9.80E+01
2.0975;9.11E+01
2.1025;9.31E+01
2.1075;9.31E+01
2.1125;8.72E+01
2.1175;9.02E+01
2.1225;8.72E+01
2.1275;8.72E+01
2.1325;8.72E+01
2.1375;8.53E+01
2.1425;9.02E+01
2.1475;8.23E+01
2.1525;8.13E+01
2.1575;7.94E+01
2.1625;8.23E+01
2.1675;8.04E+01
2.1725;8.23E+01
2.1775;7.74E+01
2.1825;7.54E+01
2.1875;6.76E+01
2.1925;7.25E+01
2.1975;7.35E+01
2.2025;8.23E+01
2.2075;7.54E+01
2.2125;7.54E+01
2.2175;7.25E+01
2.2225;7.74E+01
2.2275;7.54E+01
2.2325;7.54E+01
2.2375;6.47E+01
2.2425;5.98E+01
2.2475;7.15E+01
2.2525;7.54E+01
2.2575;7.54E+01
2.2625;7.05E+01
2.2675;7.15E+01
2.2725;6.47E+01
2.2775;6.37E+01
2.2825;6.86E+01
2.2875;6.56E+01
2.2925;6.56E+01
2.2975;6.46E+01
2.3025;6.56E+01
2.3075;6.27E+01
2.3125;6.17E+01
2.3175;5.78E+01
2.3225;5.29E+01
2.3275;5.49E+01
2.3325;5.49E+01
2.3375;5.88E+01
2.3425;5.78E+01
2.3475;5.97E+01
2.3525;6.07E+01
2.3575;6.27E+01
2.3625;6.46E+01
2.3675;6.07E+01
2.3725;6.07E+01
2.3775;5.68E+01
2.3825;5.48E+01
2.3875;5.97E+01
2.3925;5.88E+01
2.3975;5.78E+01
2.4025;5.39E+01
2.4075;5.48E+01
2.4125;5.58E+01
2.4175;5.29E+01
2.4225;5.68E+01
2.4275;5.39E+01
2.4325;5.78E+01
2.4375;5.39E+01
2.4425;5.09E+01
2.4475;4.90E+01
2.4525;4.99E+01
2.4575;5.09E+01
2.4625;4.80E+01
2.4675;5.29E+01
2.4725;4.80E+01
2.4775;5.29E+01
2.4825;4.99E+01
2.4875;4.70E+01
2.4925;5.38E+01
2.4975;4.60E+01
2.5025;4.83E+01
2.5075;4.79E+01
2.5125;4.75E+01
2.5175;4.72E+01
2.5225;4.69E+01
2.5275;4.65E+01
2.5325;4.62E+01
2.5375;4.59E+01
2.5425;4.55E+01
2.5475;4.52E+01
2.5525;4.49E+01
2.5575;4.46E+01
2.5625;4.42E+01
2.5675;4.39E+01
2.5725;4.36E+01
2.5775;4.33E+01
2.5825;4.30E+01
2.5875;4.27E+01
2.5925;4.24E+01
2.5975;4.21E+01
2.6025;4.18E+01
2.6075;4.15E+01
2.6125;4.12E+01
2.6175;4.09E+01
2.6225;4.06E+01
2.6275;4.03E+01
2.6325;4.01E+01
2.6375;3.98E+01
2.6425;3.95E+01
2.6475;3.92E+01
2.6525;3.90E+01
2.6575;3.87E+01
2.6625;3.84E+01
2.6675;3.82E+01
2.6725;3.79E+01
2.6775;3.76E+01
2.6825;3.74E+01
2.6875;3.71E+01
2.6925;3.69E+01
2.6975;3.66E+01
2.7025;3.64E+01
2.7075;3.61E+01
2.7125;3.59E+01
2.7175;3.56E+01
2.7225;3.54E+01
2.7275;3.52E+01
2.7325;3.49E+01
2.7375;3.47E+01
2.7425;3.45E+01
2.7475;3.42E+01
2.7525;3.40E+01
2.7575;3.38E+01
2.7625;3.35E+01
2.7675;3.33E+01
2.7725;3.31E+01
2.7775;3.29E+01
2.7825;3.27E+01
2.7875;3.25E+01
2.7925;3.22E+01
2.7975;3.20E+01
2.8025;3.18E+01
2.8075;3.16E+01
2.8125;3.14E+01
2.8175;3.12E+01
2.8225;3.10E+01
2.8275;3.08E+01
2.8325;3.06E+01
2.8375;3.04E+01
2.8425;3.02E+01
2.8475;3.00E+01
2.8525;2.98E+01
2.8575;2.96E+01
2.8625;2.94E+01
2.8675;2.92E+01
2.8725;2.91E+01
2.8775;2.89E+01
2.8825;2.87E+01
2.8875;2.85E+01
2.8925;2.83E+01
2.8975;2.81E+01
2.9025;2.80E+01
2.9075;2.78E+01
2.9125;2.76E+01
2.9175;2.75E+01
2.9225;2.73E+01
2.9275;2.71E+01
2.9325;2.69E+01
2.9375;2.68E+01
2.9425;2.66E+01
2.9475;2.64E+01
2.9525;2.63E+01
2.9575;2.61E+01
2.9625;2.59E+01
2.9675;2.58E+01
2.9725;2.56E+01
2.9775;2.55E+01
2.9825;2.53E+01
2.9875;2.52E+01
2.9925;2.50E+01
2.9975;2.49E+01
3.005;2.47E+01
3.015;2.44E+01
3.025;2.41E+01
3.035;2.38E+01
3.045;2.35E+01
3.055;2.32E+01
3.065;2.30E+01
3.075;2.27E+01
3.085;2.24E+01
3.095;2.21E+01
3.105;2.19E+01
3.115;2.16E+01
3.125;2.14E+01
3.135;2.11E+01
3.145;2.09E+01
3.155;2.06E+01
3.165;2.04E+01
3.175;2.02E+01
3.185;1.99E+01
3.195;1.97E+01
3.205;1.95E+01
3.215;1.93E+01
3.225;1.90E+01
3.235;1.88E+01
3.245;1.86E+01
3.255;1.84E+01
3.265;1.82E+01
3.275;1.80E+01
3.285;1.78E+01
3.295;1.76E+01
3.305;1.74E+01
